iter,time,reward,steps,convergence
1,162.42578799999998,-299.0,300.0,79.8
2,253.751758,-299.0,300.0,57.2292
3,65.36673599999997,-299.0,300.0,21.091125785968988
4,78.51641899999994,-299.0,300.0,16.60059365391039
5,40.88568199999998,-299.0,300.0,11.516401977283476
6,80.69790899999995,-299.0,300.0,9.41186221758694
7,98.31235300000007,-299.0,300.0,7.456656410404758
8,75.80192900000004,-299.0,300.0,6.486388804814338
9,108.5435910000001,-299.0,300.0,5.587241056151909
10,137.40181800000008,-299.0,300.0,4.770185688558553
11,183.3623849999999,-299.0,300.0,3.6359135566911585
12,142.32108599999992,-299.0,300.0,3.095191908195224
13,136.6143529999999,-299.0,300.0,2.5575817304774215
14,220.75224599999999,-299.0,300.0,2.2188990126615917
15,150.79392000000036,-299.0,300.0,1.8997720421427666
16,172.8558229999999,-299.0,300.0,1.6071946523259308
17,172.26882900000007,-299.0,300.0,1.4249213173176791
18,222.99303999999998,-299.0,300.0,1.2531754930314096
19,138.95836500000013,-299.0,300.0,1.0763045138067913
20,174.31820399999998,-299.0,300.0,0.8911021612413861
21,148.20713200000003,-299.0,300.0,0.7457216042443253
22,280.99895499999985,-299.0,300.0,0.6334375374236068
23,161.61327400000002,-299.0,300.0,0.518828687961304
24,177.3770400000001,-299.0,300.0,0.38328717854775807
25,176.99308300000015,-299.0,300.0,0.31255950641291097
26,197.16644799999995,-299.0,300.0,0.23826733782773868
27,250.31857999999917,-299.0,300.0,0.1690102634049433
28,196.64004399999956,-299.0,300.0,0.11302707583933724
29,211.7539490000002,-299.0,300.0,0.07193495541474793
30,210.6280940000005,-299.0,300.0,0.044492510179736655
31,221.53517399999956,-299.0,300.0,0.039223212755777226
32,231.07289199999937,-299.0,300.0,0.035080466391985254
33,234.88213899999977,-299.0,300.0,0.03137260803640807
34,241.14477399999944,-299.0,300.0,0.02805442215856324
35,249.7148669999998,-299.0,300.0,0.025085320697744606
36,257.62947900000023,-299.0,300.0,0.022428882388616955
37,262.2261219999995,-299.0,300.0,0.020052435546880076
38,264.44631399999975,-299.0,300.0,0.017926680698435504
39,275.8602310000002,-299.0,300.0,0.016024468842596562
40,286.3321929999998,-299.0,300.0,0.014321049641445427
41,289.4650470000002,-299.0,300.0,0.012798556962534846
42,298.7722640000001,-299.0,300.0,0.011437778613963445
43,306.24014000000165,-299.0,300.0,0.010221118292136566
44,316.0507989999992,-105.0,207.0,0.009126518169169984
45,312.9742150000005,-12.0,114.0,0.008062031975439865
46,326.08717899999994,29.0,73.0,0.007032092980663762
47,346.323022,29.0,73.0,0.006283186238386307
48,341.0999050000001,26.0,76.0,0.005606709382913522
49,388.7280399999984,13.0,89.0,0.004999882444099768
50,373.4128860000005,21.0,81.0,0.0044618097015423075
51,357.1243840000005,28.0,74.0,0.003923316237756325
52,364.2379780000002,10.0,92.0,0.003502460273951513
53,372.7051380000006,32.0,70.0,0.0031267721328518405
54,377.28945499999963,16.0,86.0,0.002791402734205306
55,386.72668500000105,29.0,73.0,0.0024920234812757514
56,394.1287720000002,29.0,73.0,0.002224770067746462
57,402.63914600000027,23.0,79.0,0.0019861838391737052
58,405.92627399999867,18.0,84.0,0.0017729555058014768
59,415.3619940000013,21.0,81.0,0.0015717454966708289
60,420.6457750000005,36.0,66.0,0.0010880583640506813
61,432.9452019999991,25.0,77.0,0.0005377897091989325
62,436.39553999999947,21.0,81.0,0.00025967014395611443
63,442.83631899999955,36.0,66.0,0.00011866831516549325
64,453.54988800000126,16.0,86.0,5.095786500319832e-05
65,457.6780049999982,23.0,79.0,2.0170616981118883e-05
66,460.00373300000064,26.0,76.0,6.999813363606222e-06
67,466.1671419999998,17.0,85.0,1.791940483997223e-06
68,478.4471430000003,18.0,84.0,7.494361291549012e-07
69,482.08918199999925,36.0,66.0,6.119324300613016e-07
70,491.0121939999996,22.0,80.0,5.012770891710261e-07
71,494.5789350000034,33.0,69.0,3.815095883652475e-07
72,502.2741139999987,17.0,85.0,2.578898232741267e-07
73,514.36043,7.0,95.0,1.6311947526048698e-07
74,519.5595980000007,28.0,74.0,9.881431495273318e-08
75,522.2556149999989,27.0,75.0,5.804066915970907e-08
76,535.6195400000025,26.0,76.0,3.32967857730182e-08
77,543.5074700000016,21.0,81.0,1.8742719376518835e-08
78,543.3314750000022,31.0,71.0,1.0383985227235826e-08
79,552.5902029999976,25.0,77.0,5.674570147107261e-09
80,559.8974410000004,32.0,70.0,3.063496123445475e-09
81,566.45696,30.0,72.0,1.6357795118437934e-09
82,571.6013360000005,25.0,77.0,8.646647842169841e-10
83,585.8257760000001,24.0,78.0,4.5278802929260564e-10
